num_employe INTEGER,nom TEXT,prenom TEXT,genre TEXT,date_naissance DATE,adresse TEXT,entreprise TEXT,job_title TEXT,salary INTEGER,hire_date DATE,regime_travail TEXT
5034,Simon,Sophie,Homme,1963-10-09,"117, chemin Humbert, Gonzalez-la-Forêt",Ministère de la Culture,Directeur de Cabinet,176352,2012-06-13,Mandat plein
8538,Laurent,Claire,Femme,1983-12-04,"20, rue de Bouchet, Weiss",Ministère de la Santé,Secrétaire d'État,180369,2004-12-14,Partiel
2810,David,Jean,Homme,1957-12-03,"30, rue Alix Roy, Courtois",Ministère de l'Économie et des Finances,Haut-Commissaire,134448,2016-01-08,Mandat plein
8518,Laurent,Marie,Homme,1954-10-30,"63, rue Torres, Gonzalez-la-Forêt",Ministère de l'Éducation nationale,Ambassadeur,115187,2005-06-01,Spécial
8953,Laurent,Alice,Homme,1959-09-18,"132, chemin Humbert, Weiss",Ministère de l'Éducation nationale,Haut-Commissaire,81035,2015-09-11,Mandat plein
8313,Garcia,Jean,Femme,1982-11-16,"174, rue Auguste De Sousa, Gonzalez-la-Forêt",Ministère de l'Agriculture,Ambassadeur,142026,2016-08-25,Spécial
5721,Laurent,Marie,Femme,1958-09-08,"84, rue Auguste De Sousa, DenisBourg",Ministère des Affaires étrangères,Directeur de Cabinet,185155,2008-11-14,Spécial
2025,Bernard,Marie,Homme,1964-11-28,"149, rue Peron, DenisBourg",Ministère de l'Économie et des Finances,Haut-Commissaire,175781,2012-01-19,Partiel
2605,David,Alexandre,Homme,1979-01-04,"69, rue Peron, Gonzalez-la-Forêt",Ministère de l'Agriculture,Conseiller Spécial,123628,2014-01-08,Mandat plein
1979,Durand,Marie,Homme,1968-05-23,"152, avenue Pascal, Sainte Nathalie",Ministère de la Défense,Secrétaire d'État,118513,2003-07-30,Spécial
8173,Durand,Sophie,Homme,1970-08-07,"194, rue Frédérique Faure, DenisBourg",Ministère de la Justice,Haut-Commissaire,174813,2011-05-19,Mandat plein
6780,Bernard,Sophie,Femme,1980-09-29,"85, chemin Humbert, Gonzalez-la-Forêt",Ministère de l'Éducation nationale,Conseiller Spécial,192663,2018-06-09,Partiel
2924,Simon,Claire,Homme,1955-11-04,"137, rue Frédérique Faure, Michaud-la-Forêt",Ministère de la Justice,Ambassadeur,119361,2016-11-06,Mandat plein
4292,Simon,Alice,Homme,1964-07-17,"49, rue Alix Roy, Weiss",Ministère de la Santé,Ambassadeur,84133,2011-08-24,Partiel
